language,iso_code,variety,region,source,source_url,retrieved_at,record_id,reference,source_text,target_language,target_text,unit_type,domain,licence,review_status,quality_flags,notes
Aushi,auh,Aushi (Zambia source; cross-border DRC candidate),Southeastern DRC / Zambia border zone,Aushi Bible Translation Project / French Louis Segond 1910,https://preview.open.bible/bibles/aushi-bible-translation-project,2026-08-22,556bc37e2c432211,MAT.1.1,"Généalogie de Jésus-Christ, fils de David, fils dAbraham.",Aushi,"Ifi efikolwe fyakwa Yesu Klistu mwana Davidi, mwana Ablahamu.",verse,religious,CC BY-SA 4.0,verified_source,cross_border_variety;below_1500_target,Aushi edition provided by The Word for the World International for Zambia; aligned with public-domain French Segond 1910.
Aushi,auh,Aushi (Zambia source; cross-border DRC candidate),Southeastern DRC / Zambia border zone,Aushi Bible Translation Project / French Louis Segond 1910,https://preview.open.bible/bibles/aushi-bible-translation-project,2026-08-22,40727b19040e79ea,MAT.1.2,Abraham engendra Isaac; Isaac engendra Jacob; Jacob engendra Juda et ses frères;.,Aushi,"Ablahamu afyele Isaki, Isaki naye afyele Yakobo, Yakobo afyele Yuda na bawabo.",verse,religious,CC BY-SA 4.0,verified_source,cross_border_variety;below_1500_target,Aushi edition provided by The Word for the World International for Zambia; aligned with public-domain French Segond 1910.
Aushi,auh,Aushi (Zambia source; cross-border DRC candidate),Southeastern DRC / Zambia border zone,Aushi Bible Translation Project / French Louis Segond 1910,https://preview.open.bible/bibles/aushi-bible-translation-project,2026-08-22,7ac39963b191bd24,MAT.1.3,Juda engendra de Thamar Pharès et Zara; Pharès engendra Esrom; Esrom engendra Aram;.,Aushi,"Yuda afyele Pelesi na Sela muli Tama. Peleshi afyele Heshiloni, Heshiloni afyele, Lamu.",verse,religious,CC BY-SA 4.0,verified_source,cross_border_variety;below_1500_target,Aushi edition provided by The Word for the World International for Zambia; aligned with public-domain French Segond 1910.
Aushi,auh,Aushi (Zambia source; cross-border DRC candidate),Southeastern DRC / Zambia border zone,Aushi Bible Translation Project / French Louis Segond 1910,https://preview.open.bible/bibles/aushi-bible-translation-project,2026-08-22,c2089ed37102a0e4,MAT.1.4,Aram engendra Aminadab; Aminadab engendra Naasson; Naasson engendra Salmon;.,Aushi,"Lamu wishi lyakwa Aminadabu uwafyele Nashoni, Nashoni naye afyele Samoni.",verse,religious,CC BY-SA 4.0,verified_source,cross_border_variety;below_1500_target,Aushi edition provided by The Word for the World International for Zambia; aligned with public-domain French Segond 1910.
Aushi,auh,Aushi (Zambia source; cross-border DRC candidate),Southeastern DRC / Zambia border zone,Aushi Bible Translation Project / French Louis Segond 1910,https://preview.open.bible/bibles/aushi-bible-translation-project,2026-08-22,ab5cf9493ee03bce,MAT.1.5,Salmon engendra Boaz de Rahab; Boaz engendra Obed de Ruth;.,Aushi,"Samoni afyele Boasi elo Boasi afyele Obedi uo nyina ali ni Lute, Obedi e wafyele Yese.",verse,religious,CC BY-SA 4.0,verified_source,cross_border_variety;below_1500_target,Aushi edition provided by The Word for the World International for Zambia; aligned with public-domain French Segond 1910.
Aushi,auh,Aushi (Zambia source; cross-border DRC candidate),Southeastern DRC / Zambia border zone,Aushi Bible Translation Project / French Louis Segond 1910,https://preview.open.bible/bibles/aushi-bible-translation-project,2026-08-22,e11f8207f37661b4,MAT.1.6,Obed engendra Isaï; Isaï engendra David. Le roi David engendra Salomon de la femme dUrie;.,Aushi,kabili Yese e wishi lya mfumu Davidi. Davidi naye epakufyalamo Solomoni muli muka Uliya.,verse,religious,CC BY-SA 4.0,verified_source,cross_border_variety;below_1500_target,Aushi edition provided by The Word for the World International for Zambia; aligned with public-domain French Segond 1910.
Aushi,auh,Aushi (Zambia source; cross-border DRC candidate),Southeastern DRC / Zambia border zone,Aushi Bible Translation Project / French Louis Segond 1910,https://preview.open.bible/bibles/aushi-bible-translation-project,2026-08-22,3fdaff138751d842,MAT.1.7,Salomon engendra Roboam; Roboam engendra Abia; Abia engendra Asa;.,Aushi,"Solomoni e wishi lyakwa Lehoboamu, na Lehoboamu afyele Abiya uwali wishi lyakwa Asa.",verse,religious,CC BY-SA 4.0,verified_source,cross_border_variety;below_1500_target,Aushi edition provided by The Word for the World International for Zambia; aligned with public-domain French Segond 1910.
Aushi,auh,Aushi (Zambia source; cross-border DRC candidate),Southeastern DRC / Zambia border zone,Aushi Bible Translation Project / French Louis Segond 1910,https://preview.open.bible/bibles/aushi-bible-translation-project,2026-08-22,c2a454d7490d786a,MAT.1.8,Asa engendra Josaphat; Josaphat engendra Joram; Joram engendra Ozias;.,Aushi,"Asa afyele Yehoshafati wishi lyakwa Yeholamu, Yeholamu afyele Usiya.",verse,religious,CC BY-SA 4.0,verified_source,cross_border_variety;below_1500_target,Aushi edition provided by The Word for the World International for Zambia; aligned with public-domain French Segond 1910.
Aushi,auh,Aushi (Zambia source; cross-border DRC candidate),Southeastern DRC / Zambia border zone,Aushi Bible Translation Project / French Louis Segond 1910,https://preview.open.bible/bibles/aushi-bible-translation-project,2026-08-22,1f61a95b69921efd,MAT.1.9,Ozias engendra Joatham; Joatham engendra Achaz; Achaz engendra Ézéchias;.,Aushi,"Usiya naye afyele Yotamu naye kwisa kufyala Ahasi, Ahasi afyele Hesekia.",verse,religious,CC BY-SA 4.0,verified_source,cross_border_variety;below_1500_target,Aushi edition provided by The Word for the World International for Zambia; aligned with public-domain French Segond 1910.
Aushi,auh,Aushi (Zambia source; cross-border DRC candidate),Southeastern DRC / Zambia border zone,Aushi Bible Translation Project / French Louis Segond 1910,https://preview.open.bible/bibles/aushi-bible-translation-project,2026-08-22,934fc33b6d40b53f,MAT.1.10,Ézéchias engendra Manassé; Manassé engendra Amon; Amon engendra Josias;.,Aushi,wishi lyakwa Manase. Manase afyele Amosi. Amosi naye afyele Yosiya.,verse,religious,CC BY-SA 4.0,verified_source,cross_border_variety;below_1500_target,Aushi edition provided by The Word for the World International for Zambia; aligned with public-domain French Segond 1910.
